Municipio,Desaparecidos,Habitantes,Desaparecidos_1000,Mun_Caguan
SEVILLA,81,41670,"1,943844492",No
CAICEDONIA,56,28879,"1,939125316",No
MONTECRISTO,35,18054,"1,938628559",No
SUCRE,19,9826,"1,93364543",No
CHIRIGUANÁ,59,30687,"1,922638251",No
EL TAMBO,105,54629,"1,922056051",No
ARMENIA,10,5232,"1,911314985",No
ZARZAL,82,42940,"1,90964136",No
GACHALÁ,9,4724,"1,905165114",No
COYAIMA,43,22604,"1,902318174",No
EL ENCANTO,4,2111,"1,89483657",No
GUATAPÉ,17,8981,"1,892884979",No
LEIVA,18,9579,"1,879110554",No
ACACÍAS,175,93323,"1,875207612",No
SALAMINA,37,19733,"1,875031673",No
BERBEO,3,1603,"1,871490954",No
ARIGUANÍ,61,32601,"1,871108248",No
BARBOSA,104,56053,"1,855386866",No
VITERBO,24,13078,"1,835142988",No
OLAYA HERRERA,46,25232,"1,823081801",No
SAN JERÓNIMO,30,16520,"1,81598063",No
LA APARTADA,28,15446,"1,812767059",No
PORE,22,12248,"1,796211626",No
SALDAÑA,26,14546,"1,787432971",No
GUÁTICA,22,12319,"1,785859242",No
ICONONZO,21,11953,"1,756881118",No
LA VIRGINIA,50,28465,"1,756543123",No
GUADALUPE,12,6873,"1,745962462",No
EL ZULIA,52,29955,"1,735937239",No
DAGUA,86,49631,"1,732787975",No
QUEBRADANEGRA,9,5284,"1,70325511",No
ALGECIRAS,39,22941,"1,700013077",No
GALÁN,5,2945,"1,697792869",No
NUNCHÍA,15,8850,"1,694915254",No
EL CARMEN DE VIBORAL,109,64546,"1,688718124",No
RÍO DE ORO,31,18427,"1,682313996",No
PEDRAZA,16,9526,"1,679613689",No
CARAMANTA,8,4793,"1,669100772",No
GÜEPSA,9,5409,"1,663893511",No
ULLOA,9,5449,"1,651679207",No
SAN BENITO,5,3028,"1,651254954",No
PISBA,3,1817,"1,651073198",No
PAUNA,12,7309,"1,641811465",No
GACHETÁ,15,9157,"1,638091078",No
SILVANIA,41,25190,"1,627630012",No
JERICÓ,23,14133,"1,627396873",No
LÓPEZ DE MICAY,31,19239,"1,611310359",No
GUADALUPE,11,6873,"1,60046559",No
LEBRIJA,71,45008,"1,577497334",No
MERCADERES,37,23467,"1,576682149",No
GUARANDA,30,19055,"1,574389924",No
MEDIO BAUDÓ,25,15937,"1,568676664",No
CAJAMARCA,29,18535,"1,564607499",No
TAMALAMEQUE,26,16766,"1,550757485",No
CUNDAY,13,8414,"1,545043974",No
SASAIMA,19,12355,"1,537838932",No
NUQUÍ,26,16911,"1,537460824",No
PIJAO,8,5251,"1,52351933",No
MITÚ,54,35838,"1,506780512",No
VENADILLO,19,12787,"1,485884101",No
BELTRÁN,3,2022,"1,483679525",No
MORROA,24,16245,"1,477377655",No
BALBOA,32,21780,"1,469237833",No
GÓMEZ PLATA,15,10230,"1,46627566",No
SABANALARGA,14,9567,"1,463363646",No
CEPITÁ,3,2063,"1,454192923",No
BITUIMA,4,2754,"1,452432825",No
MEDIO ATRATO,16,11107,"1,440532997",No
TULUÁ,319,221604,"1,439504702",No
BOLÍVAR,54,37586,"1,436705156",No
CALOTO,44,30699,"1,433271442",No
GUAMAL,41,28626,"1,432264375",No
CHAPARRAL,73,51005,"1,431232232",No
LA BELLEZA,9,6294,"1,42993327",No
GUAMO,47,32938,"1,42692331",No
QUIPILE,10,7009,"1,426737052",No
VILLAVICENCIO,783,554173,"1,412916183",No
EL GUACAMAYO,3,2124,"1,412429379",No
CANALETE,22,15668,"1,404135818",No
SANTA ISABEL,8,5702,"1,403016485",No
FLORIDA,82,58689,"1,397195386",No
MARÍA LA BAJA,69,49686,"1,388721169",No
CUBARÁ,15,10897,"1,376525649",No
GUAYABAL DE SÍQUIMA,7,5087,"1,376056615",No
SUPÍA,41,29884,"1,371971624",No
SAN JUAN DEL CESAR,70,51463,"1,360200532",No
QUIBDÓ,180,132918,"1,35421839",No
SANTACRUZ,15,11086,"1,353057911",No
BUENAVISTA,6,4455,"1,346801347",No
ROVIRA,29,21600,"1,342592593",No
VALLEDUPAR,739,552048,"1,338651711",No
LA CHORRERA,4,3004,"1,331557923",No
SANTA ROSA DE OSOS,52,39058,"1,331353372",No
AYAPEL,63,47954,"1,313759019",No
BELÉN DE UMBRÍA,33,25135,"1,312910284",No
EL ROBLE,14,10694,"1,309145315",No
PAIME,6,4589,"1,307474395",No
SANTA ROSA,30,22982,"1,30536942",No
TORO,19,14570,"1,304049417",No
SAN LUIS DE PALENQUE,11,8477,"1,297628878",No
SAN VICENTE FERRER,30,23170,"1,29477773",No
LA SIERRA,14,10825,"1,29330254",No
ANZOÁTEGUI,13,10057,"1,292631998",No
PAZ DE ARIPORO,49,37933,"1,291751246",No
APÍA,16,12432,"1,287001287",No
SALAZAR,14,10931,"1,280761138",No
ZETAQUIRA,6,4687,"1,280136548",No
RESTREPO,24,18958,"1,265956325",No
GUADALAJARA DE BUGA,164,130564,"1,256088968",No
PALESTINA,20,15956,"1,253446979",No
ACHÍ,32,25531,"1,253378246",No
TELLO,15,11991,"1,250938204",No
LA CEJA,88,70470,"1,248758337",No
ACEVEDO,32,25713,"1,24450667",No
ALCALÁ,18,14477,"1,243351523",No
YOPAL,224,180513,"1,240907857",No
ARROYOHONDO,11,8933,"1,231389231",No
ISNOS,32,26141,"1,224130676",No
DURANIA,6,4903,"1,223740567",No
GÁMBITA,5,4088,"1,223091977",No
YOTOCO,20,16400,"1,219512195",No
ONZAGA,5,4159,"1,20221207",No
PLANETA RICA,79,65745,"1,20161229",No
NÁTAGA,8,6680,"1,19760479",No
LA CELIA,9,7554,"1,191421763",No
MACHETÁ,8,6733,"1,188177633",No
SAN ANTONIO,15,12634,"1,187272439",No
MONTERÍA,608,512994,"1,185199047",No
MARMATO,11,9330,"1,178992497",No
SANTANDER DE QUILICHAO,135,114832,"1,175630486",No
FREDONIA,30,25526,"1,175272271",No
LA UNIÓN,27,23094,"1,16913484",No
CARCASÍ,5,4339,"1,152339249",No
AGUADAS,27,23452,"1,151287737",No
TONA,9,7865,"1,144310235",No
MEDELLÍN,2981,2612958,"1,140852628",No
SAN FELIPE,2,1758,"1,137656428",No
GUAPI,32,28139,"1,137211699",No
CAICEDO,10,8802,"1,136105431",No
SIBUNDOY,18,15902,"1,13193309",No
SANTA MARÍA,4,3545,"1,128349788",No
PRADERA,55,48770,"1,127742465",No
CHARALÁ,14,12503,"1,119731264",No
EBÉJICO,14,12512,"1,118925831",No
AMAGÁ,36,32259,"1,115967637",No
BURITICÁ,11,9934,"1,107308234",No
LA PLAYA,9,8155,"1,103617413",No
COVARACHÍA,3,2738,"1,095690285",No
DISTRACCIÓN,16,14788,"1,081958345",No
LA LLANADA,7,6476,"1,080914145",No
REGIDOR,8,7412,"1,079330815",No
JUNÍN,7,6514,"1,074608535",No
ORTEGA,37,34494,"1,072650316",No
LA CRUZ,20,18659,"1,071868803",No
LA TOLA,8,7468,"1,071237279",No
ÁBREGO,37,34574,"1,070168335",No
OCAÑA,141,131784,"1,069932617",No
SAN SEBASTIÁN,12,11239,"1,06771065",No
HOBO,8,7507,"1,065672039",No
EL RETÉN,23,21591,"1,065258673",No
EL BANCO,76,71484,"1,063174976",No
CONTRATACIÓN,4,3769,"1,061289467",No
RIOHACHA,222,209488,"1,059726571",No
RETIRO,27,25534,"1,057413645",No
TORIBÍO,39,37289,"1,045884845",No
MORICHAL,1,970,"1,030927835",No
SOMONDOCO,3,2919,"1,027749229",No
ANSERMANUEVO,18,17533,"1,026635487",No
PEÑOL,23,22448,"1,024590164",No
SAN ZENÓN,13,12757,"1,019048366",No
