County,Missing_people,Population,Process_Peace_Area
TITIRIBÍ,3,12386,No
CUNDAY,3,12142,No
URUMITA,3,11756,No
PIJIÑO DEL CARMEN,3,11361,No
SANTA ROSA,3,11270,No
LANDÁZURI,3,10575,No
AGUA DE DIOS,3,10115,No
SANTACRUZ,3,9716,No
PUEBLORRICO,3,9075,No
COELLO,3,8968,No
MEDIO SAN JUAN,3,8781,No
BUENAVISTA,3,8733,No
BUENAVISTA,3,8733,No
LA CELIA,3,8462,No
MARMATO,3,8444,No
BARAYA,3,8188,No
CAICEDO,3,7735,No
LA BELLEZA,3,7300,No
LA PLAYA,3,7285,No
EL PEÑÓN,3,7255,No
QUIPILE,3,7168,No
NUNCHÍA,3,7089,No
CASABIANCA,3,7043,No
APULO,3,6797,No
TÁMARA,3,6603,No
CONCEPCIÓN,3,5953,No
ONZAGA,3,5892,No
ALMEIDA,3,5069,No
PAIME,3,4994,No
SAN CAYETANO,3,4990,No
CAMPOHERMOSO,3,3954,No
COVARACHÍA,3,3915,No
CONTRATACIÓN,3,3854,No
CAROLINA,3,3841,No
MARULANDA,3,3690,No
SANTA ROSALÍA,3,3021,No
SÁCAMA,3,1562,No
SAN JUANITO,3,1353,No
CALARCÁ,2,68331,No
SABANETA,2,54504,No
CIÉNAGA DE ORO,2,51911,No
FUNZA,2,49944,No
LA PLATA,2,49485,No
SAMPUÉS,2,34560,No
SANTA ANA,2,33298,No
QUIMBAYA,2,32732,No
LA TEBAIDA,2,29183,No
SABANALARGA,2,28967,No
CAMPOALEGRE,2,28956,No
SAN ANTERO,2,26341,No
PURIFICACIÓN,2,24672,No
SANTO TOMÁS,2,23814,No
PALMAR DE VARELA,2,22451,No
REPELÓN,2,22096,No
GINEBRA,2,20297,No
LÓPEZ DE MICAY,2,16670,No
TORO,2,16193,No
SAN ANTONIO,2,15866,No
SUAZA,2,15639,No
SAN SEBASTIÁN DE BUENAVISTA,2,14957,No
HATONUEVO,2,14576,No
POLONUEVO,2,14542,No
SUCRE,2,14490,No
EBÉJICO,2,13941,No
BALBOA,2,13716,No
AIPE,2,13293,No
GUÁTICA,2,13292,No
ARANZAZU,2,13209,No
BETANIA,2,11748,No
CHITA,2,11591,No
DISTRACCIÓN,2,10928,No
SUAN,2,10864,No
LIBORINA,2,10611,No
TOLEDO,2,10500,No
FÓMEQUE,2,10361,No
SAN SEBASTIÁN,2,10050,No
CONDOTO,2,9948,No
PALMITO,2,9612,No
OPORAPA,2,9432,No
PORE,2,9396,No
EL PEÑOL,2,9344,No
GUADALUPE,2,9010,No
GÉNOVA,2,8967,No
BARICHARA,2,8907,No
CASTILLA LA NUEVA,2,8904,No
SAN ZENÓN,2,8414,No
BAGADÓ,2,8280,No
LA VICTORIA,2,8231,No
CERRO DE SAN ANTONIO,2,8197,No
CUCUTILLA,2,8149,No
ÍQUIRA,2,8118,No
VENECIA,2,8083,No
LA TOLA,2,7876,No
CUBARÁ,2,7292,No
EL MOLINO,2,7214,No
LA LLANADA,2,6959,No
BOCHALEMA,2,6738,No
GACHALÁ,2,5802,No
CARACOLÍ,2,5450,No
SAN JOSÉ DE PARE,2,5398,No
VALLE DE SAN JOSÉ,2,5385,No
NOCAIMA,2,5360,No
MATANZA,2,5344,No
CARCASÍ,2,5201,No
REGIDOR,2,5155,No
GÜICÁN DE LA SIERRA,2,5103,No
ZETAQUIRA,2,5042,No
DURANIA,2,4624,No
GÁMBITA,2,4609,No
ATRATO,2,4455,No
GÜEPSA,2,4412,No
SURATÁ,2,4316,No
PANDI,2,4160,No
ENCISO,2,4096,No
SANTA HELENA DEL OPÓN,2,4011,No
TIBACUY,2,3936,No
SAN JOSÉ DE LA MONTAÑA,2,3182,No
MEDIO ATRATO,2,2960,No
PALMAS DEL SOCORRO,2,2260,No
RÍO QUITO,2,2237,No
AGUADA,2,2058,No
EL CALVARIO,2,2047,No
ZIPAQUIRÁ,1,78787,No
FLORENCIA,1,78142,No
SANTA ROSA DE CABAL,1,76345,No
PAMPLONA,1,48316,No
PUERTO COLOMBIA,1,36040,No
LETICIA,1,35377,No
EL TAMBO,1,34634,No
SAN ANDRÉS,1,33301,No
GUACARÍ,1,31937,No
PUEBLO NUEVO,1,27952,No
CUMBAL,1,26981,No
NEIRA,1,25615,No
SANDONÁ,1,25446,No
CIRCASIA,1,25041,No
LURUACO,1,23605,No
BUESACO,1,22584,No
SAN CARLOS,1,21900,No
TIMBIQUÍ,1,21770,No
VÉLEZ,1,20625,No
COTORRA,1,19332,No
ALMAGUER,1,19107,No
COTA,1,17618,No
GALERAS,1,17388,No
PÁEZ,1,17211,No
SAN LORENZO,1,17082,No
LA VEGA,1,17031,No
LA VEGA,1,17031,No
GUAMAL,1,16639,No
VILLA RICA,1,16482,No
MOMIL,1,16391,No
MAGÜÍ,1,16144,No
SAMACÁ,1,15538,No
SUÁREZ,1,15524,No
CÁQUEZA,1,15047,No
TARQUI,1,14877,No
CHINÁCOTA,1,14759,No
SOPÓ,1,14694,No
LOS CÓRDOBAS,1,14524,No
LA PAZ,1,14158,No
RÍO DE ORO,1,14102,No
SANTA BÁRBARA,1,14067,No
CANALETE,1,13817,No
PALESTINA,1,13479,No
TABIO,1,13390,No
PURACÉ,1,13370,No
BELALCÁZAR,1,13351,No
CHACHAGÜÍ,1,13337,No
TANGUA,1,12767,No
EL TABLÓN DE GÓMEZ,1,12690,No
SOATÁ,1,12333,No
ANOLAIMA,1,12061,No
SANTA CATALINA,1,12054,No
TELLO,1,11467,No
FRANCISCO PIZARRO,1,11435,No
CÓRDOBA,1,11300,No
ROSAS,1,11243,No
SANTA BÁRBARA DE PINTO,1,11068,No
HATO COROZAL,1,10288,No
LA ARGENTINA,1,10162,No
ALBANIA,1,10126,No
VERSALLES,1,9819,No
PADILLA,1,9793,No
ZAPATOCA,1,9789,No
JERICÓ,1,9615,No
EL LITORAL DEL SAN JUAN,1,9501,No
USIACURÍ,1,9432,No
SAN BERNARDO,1,9407,No
SAN BERNARDO,1,9407,No
SOCOTÁ,1,9329,No
MARGARITA,1,9260,No
PUERRES,1,9232,No
SIMIJACA,1,9074,No
GACHANCIPÁ,1,8812,No
ENTRERRÍOS,1,8656,No
RÍO IRÓ,1,8638,No
PAUNA,1,8508,No
CACHIPAY,1,8192,No
CHIPAQUE,1,8174,No
ZAPAYÁN,1,8067,No
IMUÉS,1,7938,No
SOTAQUIRÁ,1,7780,No
SESQUILÉ,1,7639,No
PROVIDENCIA,1,7214,No
VILLAVIEJA,1,7124,No
SAN CRISTÓBAL,1,7109,No
SANTA MARÍA,1,7090,No
VILLARRICA,1,7036,No
SANTANA,1,7018,No
SAN LUIS DE PALENQUE,1,6933,No
PIJAO,1,6743,No
SANTA ISABEL,1,6614,No
NARIÑO,1,6594,No
GUATAPÉ,1,6519,No
COLÓN,1,6495,No
LA PEÑA,1,6405,No
GONZÁLEZ,1,6297,No
CARAMANTA,1,6245,No
UNE,1,6132,No
CHITARAQUE,1,6021,No
PUERTO SANTANDER,1,5934,No
BOJACÁ,1,5820,No
RAGONVALIA,1,5621,No
NÁTAGA,1,5573,No
HISPANIA,1,5346,No
OCAMONTE,1,5306,No
QUETAME,1,4927,No
PAMPLONITA,1,4925,No
VILLA CARO,1,4848,No
GIRALDO,1,4845,No
LABRANZAGRANDE,1,4304,No
CHINAVITA,1,3616,No
NIMAIMA,1,3509,No
MACARAVITA,1,3246,No
GALÁN,1,3223,No
LA JAGUA DEL PILAR,1,2734,No
CONFINES,1,2708,No
JERUSALÉN,1,2684,No
GUATAQUÍ,1,2377,No
SIPÍ,1,2339,No
SAN EDUARDO,1,2338,No
HATO,1,2300,No
PANQUEBA,1,2097,No
CUÍTIVA,1,2014,No
CARURÚ,1,1736,No
BELTRÁN,1,1673,No
LA SALINA,1,1297,No
